CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
RR1715,,,,CE04OSPD-DP01B,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71403-00006,,44.368262,-124.952751,,N/A,576,,,
RR1812,,,,CE04OSPD-DP01B,6,1,2018-07-23T00:00:00,2019-07-01T23:48:00,ATAPL-69544-00001,ATAPL-71403-00004,,44.368196,-124.952808,,N/A,582,,,
AT42-12,,,,CE04OSPD-DP01B,7,1,2019-07-02T01:00:00,2019-07-09T02:45:02,ATAPL-69544-00001,ATAPL-71403-00003,,44.368196,-124.952808,,N/A,582,,,
AT42-12,,,,CE04OSPD-DP01B,8,1,2019-07-09T02:02:06,2019-09-25T16:10:00,ATAPL-69544-00001,ATAPL-71403-00005,,44.368196,-124.952808,,N/A,582,,,
TN382,,,,CE04OSPD-DP01B,9,1,2020-08-12T03:00:00,2021-08-04T20:20:00,ATAPL-69544-00001,ATAPL-71403-00007,,44.368196,-124.952808,,N/A,582,,,
TN393,,,,CE04OSPD-DP01B,10,1,2021-08-23T19:35:00,2022-08-26T10:18:09,ATAPL-69544-00001,ATAPL-71403-00005,,44.368196,-124.952808,,N/A,582,,,
TN407,,,,CE04OSPD-DP01B,11,1,2022-08-26T16:00:00,,ATAPL-69544-00001,ATAPL-71403-00004,,44.368196,-124.952808,,N/A,582,,,
TN313,,,,CE04OSPD-PD01B,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71533-00004,,44.368305,-124.952756,,575,582,,,
TN326,,,,CE04OSPD-PD01B,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-69544-00001,ATAPL-71533-00005,,44.368527,-124.952667,,575,582,,,
SKQ201610S,,,,CE04OSPD-PD01B,3,1,2016-08-07T03:50:00,2017-08-06T00:56:48,ATAPL-69544-00001,ATAPL-71533-00003,,44.368433,-124.953043,,577,584,,,
RR1713,,,,CE04OSPD-PD01B,4,1,2017-08-06T00:56:48,2017-08-24T10:10:31,ATAPL-69544-00001,ATAPL-71533-00002,,44.368262,-124.952751,,569,576,,,
RR1715,,,,CE04OSPD-PD01B,5,1,2017-08-25T23:26:21,2018-07-23T00:00:00,ATAPL-69544-00001,ATAPL-71533-00002,,44.368262,-124.952751,,569,576,,,
RR1812,,,,CE04OSPD-PD01B,6,1,2018-07-23T00:00:00,,ATAPL-69544-00001,ATAPL-71533-00003,,44.368196,-124.952808,,575,582,,,
TN313,,,,CE04OSPS-PC01B,1,1,2014-08-30T09:16:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-PC01B,2,1,2015-08-03T05:41:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69839-00105,,44.374163,-124.956480,,193,574,,,
SKQ201610S,,,,CE04OSPS-PC01B,3,1,2016-07-19T08:00:00,2017-07-28T00:00:00,ATAPL-67762-10001,ATAPL-69839-00102,,44.374163,-124.956480,,193,574,,,
