sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
BOTPTA,RS03ASHS-MJ03B-09-BOTPTA304,2017-08-15 00:00:00,nan,ATAPL-58316-00001,"['3', '9651', '8643', '120785']",none,none
BOTPTA,RS03CCAL-MJ03F-05-BOTPTA301,2014-07-25 21:05:00,nan,ATAPL-58316-00003,"['5', '9676', '9914', '120798']",none,none
BOTPTA,RS03ECAL-MJ03E-06-BOTPTA302,2014-09-03 21:00:01,nan,ATAPL-58316-00004,"['7', '9652', '3617', '121184']",none,none
BOTPTA,RS03INT2-MJ03D-06-BOTPTA303,2014-07-24 22:28:00,nan,ATAPL-58316-00002,"['4', '9655', '3616', '120788']",none,none
