referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE02SHBP-MJ01C-07-ZPLSCB101,2014,1,44.637381,-124.305531,80,80
CE02SHBP-MJ01C-07-ZPLSCB101,2015,2,44.637470,-124.305431,83,83
CE02SHBP-MJ01C-07-ZPLSCB101,2016,3,44.637418,-124.305544,82,82
CE02SHBP-MJ01C-07-ZPLSCB101,2017,4,44.637348,-124.305475,79,79
CE02SHBP-MJ01C-07-ZPLSCB101,2019,5,44.637331,-124.305494,81,81
CE02SHBP-MJ01C-07-ZPLSCB101,2020,6,44.637383,-124.305563,82,82
CE02SHBP-MJ01C-07-ZPLSCB101,2021,7,44.637392,-124.305517,82,82
CE02SHBP-MJ01C-07-ZPLSCB101,2022,8,44.637346,-124.305493,82,82
CE02SHBP-MJ01C-08-CAMDSB107,2014,1,44.637234,-124.305507,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2015,2,44.637303,-124.305490,80,80
CE02SHBP-MJ01C-08-CAMDSB107,2016,3,44.637255,-124.305499,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2017,4,44.637255,-124.305499,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2018,5,44.637196,-124.305466,83,83
CE02SHBP-MJ01C-08-CAMDSB107,2019,6,44.637244,-124.305470,82,82
CE02SHBP-MJ01C-08-CAMDSB107,2020,7,44.637210,-124.305458,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2021,8,44.637186,-124.305493,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2022,9,44.637161,-124.305480,81,81
CE04OSBP-LJ01C-05-ADCPSI103,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-05-ADCPSI103,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-05-ADCPSI103,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-05-ADCPSI103,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-05-ADCPSI103,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-06-CTDBPO108,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-06-CTDBPO108,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-06-CTDBPO108,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-06-CTDBPO108,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-06-DOSTAD108,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-06-DOSTAD108,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-06-DOSTAD108,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-06-DOSTAD108,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-07-VEL3DC107,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-07-VEL3DC107,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-07-VEL3DC107,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-07-VEL3DC107,2021,8,44.369386,-124.953624,580,580
CE04OSBP-LJ01C-07-VEL3DC107,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-08-OPTAAC104,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-08-OPTAAC104,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-08-OPTAAC104,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-08-OPTAAC104,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-09-PCO2WB104,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-09-PCO2WB104,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-09-PCO2WB104,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-09-PCO2WB104,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-09-PCO2WB104,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-09-PCO2WB104,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-09-PCO2WB104,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-09-PCO2WB104,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C-09-PCO2WB104,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-10-PHSEND107,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C-10-PHSEND107,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C-10-PHSEND107,2016,3,44.369406,-124.953640,581,581
CE04OSBP-LJ01C-10-PHSEND107,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C-10-PHSEND107,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C-10-PHSEND107,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C-10-PHSEND107,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C-10-PHSEND107,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C-10-PHSEND107,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C-11-HYDBBA105,2014,1,44.369628,-124.953816,581,581
CE04OSBP-LJ01C-11-HYDBBA105,2015,2,44.369523,-124.953783,580,580
CE04OSBP-LJ01C-11-HYDBBA105,2016,3,44.369458,-124.953565,581,581
CE04OSBP-LJ01C-11-HYDBBA105,2017,4,44.369465,-124.953453,578,578
CE04OSBP-LJ01C-11-HYDBBA105,2018,5,44.369516,-124.953773,583,583
CE04OSBP-LJ01C-11-HYDBBA105,2019,6,44.369444,-124.953690,580,580
CE04OSBP-LJ01C-11-HYDBBA105,2020,7,44.369435,-124.953563,582,582
CE04OSBP-LJ01C-11-HYDBBA105,2021,8,44.369461,-124.953632,581,581
CE04OSBP-LJ01C-11-HYDBBA105,2022,9,44.369328,-124.953475,581,581
CE04OSBP-LV01C-06-CAMDSB106,2014,1,44.369296,-124.954078,581,581
CE04OSBP-LV01C-06-CAMDSB106,2015,2,44.369296,-124.954097,582,582
CE04OSBP-LV01C-06-CAMDSB106,2016,3,44.369112,-124.954075,581,581
CE04OSBP-LV01C-06-CAMDSB106,2017,4,44.369383,-124.954280,578,578
CE04OSBP-LV01C-06-CAMDSB106,2018,5,44.369341,-124.953756,581,581
CE04OSBP-LV01C-06-CAMDSB106,2019,6,44.369290,-124.953890,581,581
CE04OSBP-LV01C-06-CAMDSB106,2020,7,44.369336,-124.953886,585,585
CE04OSBP-LV01C-06-CAMDSB106,2021,8,44.369404,-124.953865,582,582
CE04OSBP-LV01C-06-CAMDSB106,2022,9,44.369365,-124.953867,582,582
CE04OSPD-DP01B-00-ENG000000,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B-00-ENG000000,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B-00-ENG000000,2016,3,44.368433,-124.953043,N/A,583
CE04OSPD-DP01B-00-ENG000000,2017,4,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-00-ENG000000,2017,5,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-00-ENG000000,2018,6,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-00-ENG000000,2019,7,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-00-ENG000000,2019,8,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-00-ENG000000,2020,9,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-00-ENG000000,2021,10,44.368228,-124.952795,N/A,582
CE04OSPD-DP01B-00-ENG000000,2022,11,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B-01-CTDPFL105,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B-01-CTDPFL105,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B-01-CTDPFL105,2016,3,44.368433,-124.953043,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2017,4,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2017,5,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2018,6,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2019,7,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2019,8,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2020,9,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2021,10,44.368228,-124.952795,N/A,582
CE04OSPD-DP01B-01-CTDPFL105,2022,11,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B-02-VEL3DA105,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B-02-VEL3DA105,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B-02-VEL3DA105,2016,3,44.368433,-124.953043,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2017,4,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2017,5,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2018,6,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2019,7,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2019,8,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2020,9,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2021,10,44.368228,-124.952795,N/A,582
CE04OSPD-DP01B-02-VEL3DA105,2022,11,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B-03-FLCDRA103,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B-03-FLCDRA103,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B-03-FLCDRA103,2016,3,44.368433,-124.953043,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2017,4,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2017,5,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2018,6,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2019,7,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2019,8,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2020,9,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2021,10,44.368228,-124.952795,N/A,582
CE04OSPD-DP01B-03-FLCDRA103,2022,11,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B-04-FLNTUA103,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B-04-FLNTUA103,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B-04-FLNTUA103,2016,3,44.368433,-124.953043,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2017,4,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2017,5,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2018,6,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2019,7,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2019,8,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2020,9,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2021,10,44.368228,-124.952795,N/A,582
CE04OSPD-DP01B-04-FLNTUA103,2022,11,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B-06-DOSTAD105,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B-06-DOSTAD105,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B-06-DOSTAD105,2016,3,44.368433,-124.953043,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2017,4,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2017,5,44.368262,-124.952751,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2018,6,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2019,7,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2019,8,44.368188,-124.952813,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2020,9,44.368193,-124.952819,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2021,10,44.368228,-124.952795,N/A,582
CE04OSPD-DP01B-06-DOSTAD105,2022,11,44.368196,-124.952808,N/A,582
CE04OSPS-PC01B-05-ZPLSCB102,2014,1,44.374163,-124.956480,193,574
CE04OSPS-PC01B-05-ZPLSCB102,2015,2,44.374163,-124.956480,193,574
CE04OSPS-PC01B-05-ZPLSCB102,2016,3,44.374163,-124.956480,193,574
CE04OSPS-PC01B-05-ZPLSCB102,2017,4,44.374163,-124.956480,193,574
CE04OSPS-PC01B-05-ZPLSCB102,2018,5,44.374225,-124.956429,197,574
CE04OSPS-PC01B-05-ZPLSCB102,2019,6,44.374225,-124.956429,197,574
CE04OSPS-PC01B-05-ZPLSCB102,2020,7,44.374225,-124.956429,197,574
CE04OSPS-PC01B-05-ZPLSCB102,2021,8,44.374225,-124.956429,197,574
CE04OSPS-PC01B-05-ZPLSCB102,2022,9,44.369353,-124.954108,197,574
CE04OSPS-PC01B-4A-CTDPFA109,2014,1,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-CTDPFA109,2015,2,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-CTDPFA109,2016,3,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-CTDPFA109,2017,4,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-CTDPFA109,2018,5,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-CTDPFA109,2019,6,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-CTDPFA109,2020,7,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-CTDPFA109,2021,8,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-CTDPFA109,2022,9,44.369353,-124.954108,197,574
CE04OSPS-PC01B-4A-DOSTAD109,2014,1,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-DOSTAD109,2015,2,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-DOSTAD109,2016,3,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-DOSTAD109,2017,4,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4A-DOSTAD109,2018,5,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-DOSTAD109,2019,6,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-DOSTAD109,2020,7,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-DOSTAD109,2021,8,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4A-DOSTAD109,2022,9,44.369353,-124.954108,197,574
CE04OSPS-PC01B-4B-PHSENA106,2014,1,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4B-PHSENA106,2015,2,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4B-PHSENA106,2016,3,44.374163,-124.956480,193,574
