referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
RS01SBPS-LV01A,2021,2,44.515161,-125.389899,2903,2903
RS01SBPS-PC01A,2014,1,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2015,2,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2016,3,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2017,4,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2018,5,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2019,6,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2020,7,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2021,8,44.528879,-125.389741,195,2904
RS01SBPS-PC01A,2022,9,44.528904,-125.389149,193,2903
RS01SBPS-PC01A,2023,10,44.528946,-125.3896141,193,2903
RS01SBPS-SC01A,2014,1,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2015,2,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2016,3,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2017,4,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2018,5,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2019,6,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2020,7,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2021,8,44.528879,-125.389741,195,2904
RS01SBPS-SC01A,2022,9,44.528904,-125.389149,193,2903
RS01SBPS-SC01A,2023,10,44.528946,-125.38961,193,2903
RS01SBPS-SF01A,2014,1,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2015,2,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2016,3,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2017,4,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2018,5,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2019,6,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2020,7,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2021,8,44.528879,-125.389741,N/A,2904
RS01SBPS-SF01A,2022,9,44.528904,-125.389149,N/A,2903
RS01SBPS-SF01A,2023,10,44.528946,-125.38961,N/A,2903
RS01SLBS-LJ01A,2014,1,44.515212,-125.389836,2903,2903
RS01SLBS-LJ01A,2015,2,44.515179,-125.389881,2902,2902
RS01SLBS-LJ01A,2016,3,44.515203,-125.38985,2907,2907
RS01SLBS-LJ01A,2017,4,44.515242,-125.389962,2892,2892
RS01SLBS-LJ01A,2020,5,44.515229,-125.389891,2905,2905
RS01SLBS-LJ01A,2023,6,44.515212,-125.38994,2902,2602
